Year,PPG,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK
1970,116.6857142857143,45.67333333333333,99.36666666666666,0.4601333333333334,,,,25.326666666666664,33.72,0.7512666666666665,52.88666666666667,24.706666666666667,,
1971,112.37083333333334,44.044444444444444,98.03333333333335,0.44972222222222225,,,,24.322222222222223,32.655555555555566,0.7446666666666667,53.11666666666667,24.27777777777778,,
1972,110.08819444444444,43.43888888888889,95.51666666666667,0.45488888888888884,,,,23.333333333333332,31.172222222222224,0.7481666666666666,51.15555555555556,24.049999999999997,,
1973,107.58055555555555,44.2,96.88333333333334,0.45655555555555555,,,,19.177777777777777,25.28333333333333,0.7584444444444445,50.605555555555554,25.194444444444443,,
1974,105.70902777777778,43.07777777777779,93.86666666666667,0.459,,,,19.588888888888892,25.394444444444442,0.7711666666666668,48.21666666666667,24.63888888888889,8.7,4.711111111111111
1975,102.64444444444445,41.68421052631579,91.1263157894737,0.4575263157894738,,,,19.26315789473684,25.178947368421053,0.7652105263157895,47.07368421052632,23.821052631578947,8.810526315789474,4.268421052631578
1976,104.35,42.05789473684211,91.72631578947369,0.4585789473684211,,,,20.24736842105263,26.95263157894737,0.7516315789473683,47.4,22.994736842105265,8.921052631578947,4.442105263157894
1977,106.4727272727273,42.813043478260866,92.0304347826087,0.46517391304347827,,,,20.839130434782607,27.734782608695657,0.7515217391304347,47.05217391304347,23.86521739130435,9.373913043478261,5.07391304347826
1978,108.46363636363637,43.556521739130446,92.8695652173913,0.4691739130434783,,,,21.34782608695652,28.395652173913046,0.7525652173913042,47.108695652173914,25.047826086956526,9.6,5.12608695652174
1979,110.33181818181816,44.513043478260876,91.72608695652173,0.485304347826087,,,,21.304347826086957,28.29565217391304,0.7524782608695652,45.21739130434783,25.769565217391307,9.143478260869566,5.369565217391304
1980,109.3409090909091,42.85652173913044,87.87391304347827,0.4879565217391304,0.773913043478261,2.7695652173913037,0.26373913043478264,21.278260869565216,27.830434782608698,0.7638260869565217,44.93478260869565,25.804347826086957,9.41304347826087,5.308695652173912
1981,108.06893939393939,42.47083333333333,86.40416666666665,0.4915,0.5041666666666667,2.016666666666667,0.23,21.683333333333334,28.8875,0.7500833333333334,43.487500000000004,25.479166666666668,9.004166666666668,5.320833333333334
